index,mosque_name,district,google_maps_url,google_maps_score,latitude,longitude
50,ALEMDA HACI MAHMUT EFENDİ CAMİİ,ÇEKMEKÇY,https://www.google.com/maps/search/ALEMDA%20HACI%20MAHMUT%20EFEND%C4%B0%20CAM%C4%B0%C4%B0%20%C3%87EKMEK%C3%87Y%20%C4%B0stanbul,,41.0095807,29.0814592
51,SABRİ ÜLKER CAMİİ,ESENLER,https://www.google.com/maps/search/SABR%C4%B0%20%C3%9CLKER%20CAM%C4%B0%C4%B0%20ESENLER%20%C4%B0stanbul,,41.021413,28.9136397
52,HACI CEZMİ İPKİN CAMİİ,ESENYURT,https://www.google.com/maps/search/HACI%20CEZM%C4%B0%20%C4%B0PK%C4%B0N%20CAM%C4%B0%C4%B0%20ESENYURT%20%C4%B0stanbul,,41.0443365,28.8811843
53,HAYIRSEVER CAMİİ,ESENYURT,https://www.google.com/maps/search/HAYIRSEVER%20CAM%C4%B0%C4%B0%20ESENYURT%20%C4%B0stanbul,,40.9467006,29.1307759
54,İBRAHİM MERMER CAMİİ,ESENYURT,https://www.google.com/maps/search/%C4%B0BRAH%C4%B0M%20MERMER%20CAM%C4%B0%C4%B0%20ESENYURT%20%C4%B0stanbul,,41.0139178,28.6467525
55,KIRAÇ MUHACİR MAHALLESİ CAMİİ,EYÜPSULTAN,https://www.google.com/maps/search/KIRA%C3%87%20MUHAC%C4%B0R%20MAHALLES%C4%B0%20CAM%C4%B0%C4%B0%20EY%C3%9CPSULTAN%20%C4%B0stanbul,,41.2169966,28.7454403
56,ALİBEYKÖY GÜZELYAYLA CAMİİ,EYÜPSULTAN,https://www.google.com/maps/search/AL%C4%B0BEYK%C3%96Y%20G%C3%9CZELYAYLA%20CAM%C4%B0%C4%B0%20EY%C3%9CPSULTAN%20%C4%B0stanbul,,41.0460803,28.9734526
57,ALİBEYKÖY HATİCE SULTAN CAMİİ,EYÜPSULTAN,https://www.google.com/maps/search/AL%C4%B0BEYK%C3%96Y%20HAT%C4%B0CE%20SULTAN%20CAM%C4%B0%C4%B0%20EY%C3%9CPSULTAN%20%C4%B0stanbul,,41.0346526,28.9410851
58,ARPACI HAYRETTİN CAMİİ,EYÜPSULTAN,https://www.google.com/maps/search/ARPACI%20HAYRETT%C4%B0N%20CAM%C4%B0%C4%B0%20EY%C3%9CPSULTAN%20%C4%B0stanbul,,41.0420886,28.9358417
59,HÜSEYİN ŞAHİN CAMİİ,EYÜPSULTAN,https://www.google.com/maps/search/H%C3%9CSEY%C4%B0N%20%C5%9EAH%C4%B0N%20CAM%C4%B0%C4%B0%20EY%C3%9CPSULTAN%20%C4%B0stanbul,,41.0069894,28.9616026
60,KİREMİTÇİ SÜLEYMAN ÇELEBİ (KIZILMESCİT) CAMİİ,EYÜPSULTAN,https://www.google.com/maps/search/K%C4%B0REM%C4%B0T%C3%87%C4%B0%20S%C3%9CLEYMAN%20%C3%87ELEB%C4%B0%20%28KIZILMESC%C4%B0T%29%20CAM%C4%B0%C4%B0%20EY%C3%9CPSULTAN%20%C4%B0stanbul,,40.9866268,28.7146301
61,PROF.DR. MAHMUT ESAT COŞAN CAMİİ,EYÜPSULTAN,https://www.google.com/maps/search/PROF.DR.%20MAHMUT%20ESAT%20CO%C5%9EAN%20CAM%C4%B0%C4%B0%20EY%C3%9CPSULTAN%20%C4%B0stanbul,,41.0664563,28.9057969
62,ŞEVKİBEY CAMİİ,EYÜPSULTAN,https://www.google.com/maps/search/%C5%9EEVK%C4%B0BEY%20CAM%C4%B0%C4%B0%20EY%C3%9CPSULTAN%20%C4%B0stanbul,,41.0437391,28.9264643
63,CEDİD ALİ PAŞA CAMİİ,FATİH,https://www.google.com/maps/search/CED%C4%B0D%20AL%C4%B0%20PA%C5%9EA%20CAM%C4%B0%C4%B0%20FAT%C4%B0H%20%C4%B0stanbul,,41.0457935,28.9306425
64,BEHRUZAĞA ODABAŞI CAMİİ,FATİH,https://www.google.com/maps/search/BEHRUZA%C4%9EA%20ODABA%C5%9EI%20CAM%C4%B0%C4%B0%20FAT%C4%B0H%20%C4%B0stanbul,,41.0120106,28.9311526
65,DİBEK CAMİİ,FATİH,https://www.google.com/maps/search/D%C4%B0BEK%20CAM%C4%B0%C4%B0%20FAT%C4%B0H%20%C4%B0stanbul,,41.0182069,28.9436082
66,FEVZİYE KÜÇÜKEFENDİ CAMİİ,FATİH,https://www.google.com/maps/search/FEVZ%C4%B0YE%20K%C3%9C%C3%87%C3%9CKEFEND%C4%B0%20CAM%C4%B0%C4%B0%20FAT%C4%B0H%20%C4%B0stanbul,,41.0004046,28.9244492
67,GAZİ AHMETPAŞA CAMİİ,FATİH,https://www.google.com/maps/search/GAZ%C4%B0%20AHMETPA%C5%9EA%20CAM%C4%B0%C4%B0%20FAT%C4%B0H%20%C4%B0stanbul,,41.0279635,28.9459042
68,HACI HAMZA CAMİİ,FATİH,https://www.google.com/maps/search/HACI%20HAMZA%20CAM%C4%B0%C4%B0%20FAT%C4%B0H%20%C4%B0stanbul,,41.0012076,28.9238634
69,HIRKAİ ŞERİF CAMİİ,FATİH,https://www.google.com/maps/search/HIRKA%C4%B0%20%C5%9EER%C4%B0F%20CAM%C4%B0%C4%B0%20FAT%C4%B0H%20%C4%B0stanbul,,41.0218732,28.9416438
70,HOCA ÜVEYZ CAMİİ,FATİH,https://www.google.com/maps/search/HOCA%20%C3%9CVEYZ%20CAM%C4%B0%C4%B0%20FAT%C4%B0H%20%C4%B0stanbul,,41.0202742,28.9444934
71,İSKENDERPAŞA CAMİİ,FATİH,https://www.google.com/maps/search/%C4%B0SKENDERPA%C5%9EA%20CAM%C4%B0%C4%B0%20FAT%C4%B0H%20%C4%B0stanbul,,41.0166187,28.9480053
72,KUMRULU MESCİDİ,FATİH,https://www.google.com/maps/search/KUMRULU%20MESC%C4%B0D%C4%B0%20FAT%C4%B0H%20%C4%B0stanbul,,41.0236945,28.9464863
73,MACUNCU KASIM CAMİİ,FATİH,https://www.google.com/maps/search/MACUNCU%20KASIM%20CAM%C4%B0%C4%B0%20FAT%C4%B0H%20%C4%B0stanbul,,41.0122338,28.9345021
